fecha,delito,x,y,colonia,municipio,clave_mun,hora,bien_afectado,zona_geografica,ID_municipio_unico
06/06/2019,Lesiones dolosas,-103.7666796,22.49752781,NO DISPONIBLE,Mezquitic,61,N.D.,La vida y la integridad corporal,Interior,ENT14MUN061
16/06/2019,Lesiones dolosas,-103.5295396,21.97905476,LA CRUZ,Totatiche,104,N.D.,La vida y la integridad corporal,Interior,ENT14MUN104
05/07/2019,Lesiones dolosas,-103.2666287,22.1290372,LA CANTERA,Colotlán,25,N.D.,La vida y la integridad corporal,Interior,ENT14MUN025
22/07/2019,Lesiones dolosas,-103.895834,22.62930577,TEMACHACO,Huejuquilla el Alto,42,N.D.,La vida y la integridad corporal,Interior,ENT14MUN042
23/07/2019,Lesiones dolosas,-103.6633724,22.35494078,NO DISPONIBLE,Mezquitic,61,N.D.,La vida y la integridad corporal,Interior,ENT14MUN061
25/07/2019,Lesiones dolosas,-103.2683656,22.11310303,CENTRO,Colotlán,25,N.D.,La vida y la integridad corporal,Interior,ENT14MUN025
29/07/2019,Lesiones dolosas,-103.787822,22.4224292,NO DISPONIBLE,Mezquitic,61,N.D.,La vida y la integridad corporal,Interior,ENT14MUN061
30/07/2019,Lesiones dolosas,-103.7730469,21.78647625,NO DISPONIBLE,Chimaltitán,31,N.D.,La vida y la integridad corporal,Interior,ENT14MUN031
06/08/2019,Lesiones dolosas,-103.2597555,22.1132347,LOMAS DE LA CRUZ,Colotlán,25,N.D.,La vida y la integridad corporal,Interior,ENT14MUN025
08/08/2019,Lesiones dolosas,-103.2478027,22.12468388,NO DISPONIBLE,Colotlán,25,N.D.,La vida y la integridad corporal,Interior,ENT14MUN025
09/08/2019,Lesiones dolosas,-103.2125586,22.35966258,CENTRO,Huejucar,41,N.D.,La vida y la integridad corporal,Interior,ENT14MUN041
13/08/2019,Lesiones dolosas,-103.267014,22.10726478,DEL CERRITO,Colotlán,25,N.D.,La vida y la integridad corporal,Interior,ENT14MUN025
13/08/2019,Lesiones dolosas,-103.787822,22.4224292,NO DISPONIBLE,Mezquitic,61,N.D.,La vida y la integridad corporal,Interior,ENT14MUN061
04/09/2019,Lesiones dolosas,-103.856658,21.70937886,NO DISPONIBLE,San Martín de Bolaños,76,N.D.,La vida y la integridad corporal,Interior,ENT14MUN076
04/09/2019,Lesiones dolosas,-103.3053657,22.00569597,NO DISPONIBLE,Colotlán,25,N.D.,La vida y la integridad corporal,Interior,ENT14MUN025
06/09/2019,Lesiones dolosas,-103.856658,21.70937886,NO DISPONIBLE,San Martín de Bolaños,76,N.D.,La vida y la integridad corporal,Interior,ENT14MUN076
09/09/2019,Lesiones dolosas,-103.2675027,22.11296937,CENTRO,Colotlán,25,N.D.,La vida y la integridad corporal,Interior,ENT14MUN025
10/09/2019,Lesiones dolosas,-103.341981,22.31884534,NO DISPONIBLE,Huejucar,41,17:00,La vida y la integridad corporal,Interior,ENT14MUN041
12/09/2019,Lesiones dolosas,-103.603075,21.99605503,NO DISPONIBLE,Villa Guerrero,115,N.D.,La vida y la integridad corporal,Interior,ENT14MUN115
16/09/2019,Lesiones dolosas,-103.2679227,22.11461724,CENTRO,Colotlán,25,N.D.,La vida y la integridad corporal,Interior,ENT14MUN025
17/09/2019,Lesiones dolosas,-103.2640918,22.11333431,DE LA PIEDRA CHINA ORIENTE,Colotlán,25,N.D.,La vida y la integridad corporal,Interior,ENT14MUN025
18/09/2019,Lesiones dolosas,-103.27111,22.110745,DE LA PIEDRA CHINA,Colotlán,25,N.D.,La vida y la integridad corporal,Interior,ENT14MUN025
18/09/2019,Lesiones dolosas,-103.2647286,22.11152149,CENTRO,Colotlán,25,N.D.,La vida y la integridad corporal,Interior,ENT14MUN025
04/10/2019,Lesiones dolosas,-103.9253416,22.61075647,NO DISPONIBLE,Huejuquilla el Alto,42,N.D.,La vida y la integridad corporal,Interior,ENT14MUN042
06/10/2019,Lesiones dolosas,-103.2491219,22.13755482,SANTIAGO TLALTELOLCO,Colotlán,25,N.D.,La vida y la integridad corporal,Interior,ENT14MUN025
07/10/2019,Lesiones dolosas,-103.2253986,22.1720372,CENTRO,Santa María de los Angeles,81,19:30,La vida y la integridad corporal,Interior,ENT14MUN081
09/10/2019,Lesiones dolosas,-103.2256478,22.1808842,DE TAPIAS,Santa María de los Angeles,81,20:30,La vida y la integridad corporal,Interior,ENT14MUN081
10/10/2019,Lesiones dolosas,-103.9253416,22.61075647,NO DISPONIBLE,Huejuquilla el Alto,42,22:30,La vida y la integridad corporal,Interior,ENT14MUN042
17/10/2019,Lesiones dolosas,-104.0872652,22.29879695,NO DISPONIBLE,Mezquitic,61,N.D.,La vida y la integridad corporal,Interior,ENT14MUN061
24/10/2019,Lesiones dolosas,-103.2715605,22.11082966,DE LA PIEDRA CHINA,Colotlán,25,10:00,La vida y la integridad corporal,Interior,ENT14MUN025
31/10/2019,Lesiones dolosas,-103.8979171,22.62922648,LOS SAUCES,Huejuquilla el Alto,42,09:20,La vida y la integridad corporal,Interior,ENT14MUN042
03/11/2019,Lesiones dolosas,-103.2614956,22.12484714,CHIHUAHUA,Colotlán,25,16:00,La vida y la integridad corporal,Interior,ENT14MUN025
04/11/2019,Lesiones dolosas,-103.262399,22.11734201,CHIHUAHUA,Colotlán,25,16:00,La vida y la integridad corporal,Interior,ENT14MUN025
19/11/2019,Lesiones dolosas,-103.7411368,22.11826866,NO DISPONIBLE,Villa Guerrero,115,18:00,La vida y la integridad corporal,Interior,ENT14MUN115
28/11/2019,Lesiones dolosas,-103.2696716,22.11417379,CENTRO,Colotlán,25,22:13,La vida y la integridad corporal,Interior,ENT14MUN025
04/12/2019,Lesiones dolosas,-103.2636269,22.11617726,CENTRO,Colotlán,25,N.D.,La vida y la integridad corporal,Interior,ENT14MUN025
08/12/2019,Lesiones dolosas,-103.9284265,22.37234405,TENZOMPA,Huejuquilla el Alto,42,10:00,La vida y la integridad corporal,Interior,ENT14MUN042
19/12/2019,Lesiones dolosas,-103.899086,22.6194074,BICENTENARIO,Huejuquilla el Alto,42,N.D.,La vida y la integridad corporal,Interior,ENT14MUN042
20/12/2019,Lesiones dolosas,-103.2607902,22.12311796,CHIHUAHUA,Colotlán,25,N.D.,La vida y la integridad corporal,Interior,ENT14MUN025
30/12/2019,Lesiones dolosas,-103.3758586,22.1068982,NO DISPONIBLE,Colotlán,25,21:40,La vida y la integridad corporal,Interior,ENT14MUN025
06/08/2019,Robo a cuentahabientes,-103.2679227,22.11461724,CENTRO,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
28/01/2019,Robo a int de vehículos,-103.258792,22.11399391,LOMAS DE LA CRUZ,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
21/05/2019,Robo a int de vehículos,-103.727131,22.38810235,CENTRO,Mezquitic,61,N.D.,El patrimonio,Interior,ENT14MUN061
02/12/2019,Robo a int de vehículos,-103.2749691,22.11327768,SOYATITLAN,Colotlán,25,13:30,El patrimonio,Interior,ENT14MUN025
02/01/2019,Robo a negocio,-103.267014,22.10726477,DEL CERRITO,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
04/01/2019,Robo a negocio,-103.2729667,22.1097386,DE LA PIEDRA CHINA,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
04/01/2019,Robo a negocio,-103.267293,22.11377308,CENTRO,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
23/01/2019,Robo a negocio,-103.2629326,22.11054445,LOMAS DE ORIENTE,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
28/01/2019,Robo a negocio,-103.2105359,22.36016277,CENTRO,Huejucar,41,N.D.,El patrimonio,Interior,ENT14MUN041
06/02/2019,Robo a negocio,-103.2711192,22.10642655,NUEVO TLAXCALA 2,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
08/03/2019,Robo a negocio,-103.2665839,22.11529113,CENTRO,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
08/03/2019,Robo a negocio,-103.2660469,22.11173433,CENTRO,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
08/03/2019,Robo a negocio,-103.2597555,22.1132347,LOMAS DE LA CRUZ,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
25/03/2019,Robo a negocio,-103.2748186,22.10307492,NUEVO TLAXCALA,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
04/04/2019,Robo a negocio,-103.2491219,22.13755482,SANTIAGO TLALTELOLCO,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
04/04/2019,Robo a negocio,-103.2711192,22.10642656,NUEVO TLAXCALA 2,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
12/04/2019,Robo a negocio,-103.2665553,22.10954276,DE LA PIEDRA CHINA ORIENTE,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
12/04/2019,Robo a negocio,-103.2442822,22.13244489,SANTIAGO TLALTELOLCO,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
16/04/2019,Robo a negocio,-103.7292583,22.39127295,EL VALLADO SUR,Mezquitic,61,N.D.,El patrimonio,Interior,ENT14MUN061
17/04/2019,Robo a negocio,-103.8905766,22.62809765,CENTRO,Huejuquilla el Alto,42,N.D.,El patrimonio,Interior,ENT14MUN042
07/08/2019,Robo a negocio,-103.2584666,22.11501032,CUARTO CENTENARIO,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
08/08/2019,Robo a negocio,-103.7736916,21.84337297,EL TEPEC,Bolaños,19,N.D.,El patrimonio,Interior,ENT14MUN019
31/05/2019,Robo a persona,-103.21522,22.35427798,LAS HUERTAS,Huejucar,41,N.D.,El patrimonio,Interior,ENT14MUN041
24/07/2019,Robo a persona,-103.2720271,22.10978238,DE LA PIEDRA CHINA,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
01/02/2019,Robo a vehículos particulares,-103.1889085,22.05052211,NO DISPONIBLE,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
15/02/2019,Robo a vehículos particulares,-103.27111,22.11074499,DE LA PIEDRA CHINA,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
25/02/2019,Robo a vehículos particulares,-103.2533722,22.10457204,LAS GOLONDRINAS,Colotlán,25,00:00,El patrimonio,Interior,ENT14MUN025
08/03/2019,Robo a vehículos particulares,-103.2698577,22.10652504,DEL CERRITO 2,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
20/03/2019,Robo a vehículos particulares,-103.2084411,22.35633012,LAS FLORES,Huejucar,41,00:00,El patrimonio,Interior,ENT14MUN041
25/03/2019,Robo a vehículos particulares,-103.2380936,22.34496181,NO DISPONIBLE,Huejucar,41,N.D.,El patrimonio,Interior,ENT14MUN041
04/04/2019,Robo a vehículos particulares,-103.2792626,22.10526083,ACAPONETA,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
15/04/2019,Robo a vehículos particulares,-103.5955065,21.98312133,CENTRO,Villa Guerrero,115,00:00,El patrimonio,Interior,ENT14MUN115
11/05/2019,Robo a vehículos particulares,-103.2681627,22.11356632,CENTRO,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
28/05/2019,Robo a vehículos particulares,-103.8958292,22.62405973,LAS HUERTAS,Huejuquilla el Alto,42,N.D.,El patrimonio,Interior,ENT14MUN042
15/07/2019,Robo a vehículos particulares,-103.26926,22.11322945,CENTRO,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
24/07/2019,Robo a vehículos particulares,-103.8925554,22.53325234,NO DISPONIBLE,Huejuquilla el Alto,42,N.D.,El patrimonio,Interior,ENT14MUN042
20/08/2019,Robo a vehículos particulares,-103.896885,22.62121251,NO DISPONIBLE,Huejuquilla el Alto,42,N.D.,El patrimonio,Interior,ENT14MUN042
01/11/2019,Robo a vehículos particulares,-103.2623342,22.11111448,LOMAS DE ORIENTE,Colotlán,25,07:00,El patrimonio,Interior,ENT14MUN025
14/11/2019,Robo a vehículos particulares,-103.8979171,22.62922648,LOS SAUCES,Huejuquilla el Alto,42,N.D.,El patrimonio,Interior,ENT14MUN042
09/01/2019,Robo a casa habitación,-103.7290146,22.38994715,CENTRO,Mezquitic,61,N.D.,El patrimonio,Interior,ENT14MUN061
18/01/2019,Robo a casa habitación,-103.2681627,22.11356632,CENTRO,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
11/02/2019,Robo a casa habitación,-103.4963912,21.83773138,NO DISPONIBLE,Totatiche,104,N.D.,El patrimonio,Interior,ENT14MUN104
22/04/2019,Robo a casa habitación,-103.2659461,22.12771176,LA CANTERA,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
22/04/2019,Robo a casa habitación,-103.7849972,21.82854864,NO DISPONIBLE,Bolaños,19,N.D.,El patrimonio,Interior,ENT14MUN019
02/05/2019,Robo a casa habitación,-103.7736916,21.84337297,EL TEPEC,Bolaños,19,N.D.,El patrimonio,Interior,ENT14MUN019
07/05/2019,Robo a casa habitación,-103.2717392,22.11325802,CENTRO,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
07/05/2019,Robo a casa habitación,-103.253495,22.10550451,LAS GOLONDRINAS,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
07/05/2019,Robo a casa habitación,-103.2672764,22.1210134,TOCHOPA,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
13/05/2019,Robo a casa habitación,-103.2704485,22.11242487,CENTRO,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
13/05/2019,Robo a casa habitación,-103.2694682,22.01051786,NO DISPONIBLE,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
20/05/2019,Robo a casa habitación,-103.7801848,21.77877097,SAN FRANCISCO,Chimaltitán,31,N.D.,El patrimonio,Interior,ENT14MUN031
07/06/2019,Robo a casa habitación,-103.265785,22.1158463,CENTRO,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
24/07/2019,Robo a casa habitación,-103.2675585,22.10979608,DE LA PIEDRA CHINA ORIENTE,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
09/08/2019,Robo a casa habitación,-103.5915154,21.98244063,SAN FRANCISCO,Villa Guerrero,115,N.D.,El patrimonio,Interior,ENT14MUN115
22/08/2019,Robo a casa habitación,-103.2696716,22.11417379,CENTRO,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
26/08/2019,Robo a casa habitación,-103.5942501,21.98438724,CENTRO,Villa Guerrero,115,N.D.,El patrimonio,Interior,ENT14MUN115
27/08/2019,Robo a casa habitación,-103.448877,21.92943632,SAN JUAN,Totatiche,104,N.D.,El patrimonio,Interior,ENT14MUN104
30/08/2019,Robo a casa habitación,-103.26926,22.11322945,CENTRO,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
19/09/2019,Robo a casa habitación,-103.5855651,21.96745138,NO DISPONIBLE,Villa Guerrero,115,N.D.,El patrimonio,Interior,ENT14MUN115
19/09/2019,Robo a casa habitación,-103.895834,22.62930577,TEMACHACO,Huejuquilla el Alto,42,12:00,El patrimonio,Interior,ENT14MUN042
03/10/2019,Robo a casa habitación,-103.889147,21.6010513,NO DISPONIBLE,San Martín de Bolaños,76,N.D.,El patrimonio,Interior,ENT14MUN076
04/10/2019,Robo a casa habitación,-103.9284265,22.37234405,TENZOMPA,Huejuquilla el Alto,42,N.D.,El patrimonio,Interior,ENT14MUN042
09/11/2019,Robo a casa habitación,-103.253914,22.09691056,NO DISPONIBLE,Colotlán,25,14:30,El patrimonio,Interior,ENT14MUN025
02/12/2019,Robo a casa habitación,-103.2677721,22.12340915,DEL BOSQUE,Colotlán,25,12:00,El patrimonio,Interior,ENT14MUN025
04/12/2019,Robo a casa habitación,-103.2675027,22.11296937,CENTRO,Colotlán,25,17:00,El patrimonio,Interior,ENT14MUN025
05/12/2019,Robo a casa habitación,-103.1709792,22.27083428,SAN CAYETANO,Huejucar,41,00:00,El patrimonio,Interior,ENT14MUN041
10/12/2019,Robo a casa habitación,-103.262818,22.11993579,CHIHUAHUA,Colotlán,25,12:30,El patrimonio,Interior,ENT14MUN025
04/01/2019,Robo de autopartes,-103.2675027,22.11296936,CENTRO,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
01/03/2019,Robo de autopartes,-103.2616609,22.11449316,ALTO,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
31/05/2019,Robo de autopartes,-103.253914,22.09691056,NO DISPONIBLE,Colotlán,25,N.D.,El patrimonio,Interior,ENT14MUN025
